,tag,count
0,#생일파티,161
1,#생일선물,104
2,#선물,89
3,#hbd,72
4,#주말,70
5,#케이크,63
6,#happybirthday,59
7,#생일케이크,54
8,#사랑해,54
9,#행복,53
10,#HBD,49
11,#생일축하해,47
12,#selca,46
13,#파티,41
14,#기념일,40
15,#instadaily,40
16,#좋아요테러,37
17,#얼스타그램,36
18,#감사합니다,35
19,#친구,35
20,#instagram,35
21,#고마워,32
22,#축하해,32
23,#이벤트,31
24,#생파,31
25,#가족,31
26,#l4l,30
27,#cake,29
28,#party,29
29,#데이트,29
30,#❤️,28
31,#사진,27
32,#lfl,26
33,#likeforfollow,25
34,#생일스타그램,25
35,#아들,23
36,#선팔맞팔,23
37,#첫줄,23
38,#축하,23
39,#🎂,22
40,#인스타그램,22
41,#love,22
42,#육아소통,22
43,#홈파티,21
44,#맞팔해요,21
45,#happy,20
46,#소통해요,19
47,#대구,19
48,#인스타,19
49,#남자친구,19
