,tag,count
0,#카페스타그램,199
1,#커피,148
2,#카페투어,134
3,#카페추천,100
4,#카페,93
5,#디저트,83
6,#coffee,82
7,#selca,76
8,#instadaily,67
9,#서울,67
10,#l4l,65
11,#얼스타그램,63
12,#likeforfollow,61
13,#대구,61
14,#데이트,61
15,#좋아요테러,60
16,#맞팔해요,60
17,#맞팔,57
18,#인스타그램,55
19,#첫줄,54
20,#맛스타그램,50
21,#맞팔환영,50
22,#선팔맞팔,48
23,#좋아요,47
24,#감성,47
25,#일상,47
26,#lfl,46
27,#홈카페,46
28,#디저트카페,44
29,#소통해요,43
30,#서면,43
31,#강남,43
32,#instagram,42
33,#like4likes,40
34,#해운대,39
35,#홍대,39
36,#선팔,38
37,#いいね返し,38
38,#광주,37
39,#첫줄반사,36
40,#소통,36
41,#cafestagram,36
42,#좋반,35
43,#사진,35
44,#인테리어,35
45,#셀카,33
46,#옷스타그램,32
47,#カフェ,32
48,#photo,32
49,#좋아요반사,32
