,tag,count
0,#캠핑요리,182
1,#캠핑스타그램,151
2,#캠핑용품,128
3,#캠린이,120
4,#감성캠핑,115
5,#주말,91
6,#캠퍼,84
7,#차박,84
8,#노지캠핑,75
9,#camper,74
10,#오토캠핑,73
11,#캠핑장,70
12,#캠핑족,69
13,#camp,66
14,#힐링,65
15,#불멍,65
16,#캠핑장비,65
17,#캠핑음식,62
18,#캠핑고기,54
19,#여행스타그램,50
20,#캠핑그램,50
21,#부모님선물,47
22,#부산한우한돈,46
23,#부산정육점,46
24,#부산고기맛집,46
25,#식육처리기능사,46
26,#한우선물세트,46
27,#소고기선물세트,46
28,#한돈선물세트,46
29,#돼지고기선물세트,46
30,#명절선물,46
31,#명절선물세트,46
32,#이바지,46
33,#양심적인가격,46
34,#부담없는가격,46
35,#단체주문,46
36,#단체선물세트,46
37,#전국택배,46
38,#따봉축산,46
39,#피크닉,44
40,#백패킹,43
41,#대전카페,40
42,#솔캠,38
43,#like,38
44,#이바지고기,38
45,#스테이크맛집,38
46,#ddabong_butcher,38
47,#따봉정육점,38
48,#캠핑장추천,35
49,#바다,35
