,tag,count
0,#catstagram,402
1,#냥스타그램,387
2,#캣스타그램,234
3,#고양이그램,207
4,#猫,207
5,#반려묘,194
6,#ねこ,176
7,#catsofinstagram,171
8,#집사,163
9,#cats,151
10,#고양이스타그램,139
11,#catlover,134
12,#kitty,126
13,#instacat,120
14,#냥이,120
15,#catlife,118
16,#neko,110
17,#고양이,105
18,#meow,103
19,#kitten,98
20,#집사스타그램,96
21,#개냥이,90
22,#고양이일상,89
23,#반려동물,83
24,#코숏,83
25,#pet,79
26,#집사맞팔,68
27,#집사그램,65
28,#ネコ,63
29,#gato,60
30,#미묘,59
31,#사지말고입양하세요,57
32,#catlovers,57
33,#貓,54
34,#야옹이,53
35,#고영희,53
36,#ねこすたぐらむ,53
37,#펫스타그램,52
38,#petstagram,50
39,#cute,49
40,#고양이집사,48
41,#chat,47
42,#길냥이,47
43,#katze,46
44,#아깽이,44
45,#cats_of_instagram,44
46,#catoftheday,44
47,#ねこ部,41
48,#코리안숏헤어,41
49,#cutecat,40
