,tag,count
0,#맛스타그램,171
1,#먹방,141
2,#야식,104
3,#주말,102
4,#치맥,98
5,#먹팔,95
6,#먹스타,92
7,#food,79
8,#치킨맛집,66
9,#먹스타맞팔,62
10,#피자,61
11,#맥주,60
12,#치킨스타그램,53
13,#foodstagram,53
14,#한남자의이야기,51
15,#치킨추천,50
16,#음식,49
17,#저녁,46
18,#양념치킨,43
19,#치즈볼,40
20,#푸드스타그램,40
21,#통닭,39
22,#존맛탱,39
23,#맛집추천,38
24,#술스타그램,37
25,#먹부림,36
26,#foodie,36
27,#후라이드치킨,35
28,#집밥,34
29,#맞팔해요,34
30,#치느님,32
31,#일요일,32
32,#bhc,32
33,#치킨,31
34,#먹팔해요,31
35,#맛있다,29
36,#오늘뭐먹지,28
37,#뿌링클,28
38,#음식스타그램,28
39,#koreanfood,27
40,#요리,27
41,#맛집스타그램,26
42,#instafood,26
43,#맞팔환영,26
44,#배달음식,26
45,#선팔맞팔,25
46,#존맛,25
47,#맛집,25
48,#먹방스타그램,24
49,#jmt,23
