,tag,count
0,#데이트,272
1,#주말,149
2,#커플스타그램,134
3,#커플사진,115
4,#럽스타,108
5,#커플룩,88
6,#l4l,84
7,#love,82
8,#사랑해,74
9,#selca,73
10,#사진,69
11,#instagram,68
12,#힐링,67
13,#얼스타그램,61
14,#좋아요테러,61
15,#인스타그램,57
16,#첫줄,56
17,#lfl,54
18,#행복,53
19,#여행스타그램,50
20,#instadaily,48
21,#서울,48
22,#선팔맞팔,48
23,#사랑,47
24,#대구,47
25,#いいね返し,46
26,#커플,45
27,#연애,45
28,#부부,44
29,#커플링,44
30,#댓글,43
31,#연애중,43
32,#맞팔해요,42
33,#감성,41
34,#좋아요반사,41
35,#일요일,41
36,#맞팔환영,40
37,#남자친구,40
38,#악세사리,40
39,#연인,39
40,#likeforfollow,39
41,#드라이브,38
42,#likesforlike,38
43,#신혼부부,37
44,#연애스타그램,36
45,#selstagram,36
46,#instalike,34
47,#친구,34
48,#일상그램,34
49,#부부스타그램,32
