,tag,count
0,#멍스타그램,559
1,#반려견,462
2,#댕댕이,436
3,#dogstagram,294
4,#puppy,293
5,#멍멍이,280
6,#펫스타그램,248
7,#개스타그램,229
8,#petstagram,208
9,#pet,198
10,#멍팔,185
11,#견스타그램,169
12,#말티즈,162
13,#강아지그램,160
14,#댕스타그램,141
15,#푸들,131
16,#포메라니안,118
17,#독스타그램,113
18,#instadog,111
19,#반려동물,110
20,#강아지스타그램,108
21,#댕댕이그램,107
22,#강아지일상,101
23,#멍팔환영,100
24,#애견,89
25,#포메,88
26,#강아지,86
27,#비숑,82
28,#pomeranian,74
29,#개린이,73
30,#댕팔,72
31,#개,70
32,#산책,69
33,#인스타독,68
34,#멍스타그램,61
35,#견주소통,52
36,#말티푸,52
37,#강아지모델,51
38,#doglover,50
39,#댕댕이일상,49
40,#믹스견,48
41,#강아지옷,48
42,#🐶,45
43,#토이푸들,45
44,#poodle,44
45,#doglife,44
46,#강쥐,44
47,#maltese,43
48,#반려견,43
49,#비숑프리제,43
