,tag,count
0,#flowers,214
1,#꽃스타그램,140
2,#花,96
3,#꽃다발,95
4,#사진,81
5,#장미,80
6,#flowerstagram,68
7,#온라인꽃시장,66
8,#꽃,61
9,#생화,59
10,#풍경,54
11,#florist,53
12,#감성,53
13,#소재,53
14,#photography,52
15,#꽃도매,52
16,#꽃집,51
17,#양재꽃시장,51
18,#자재,51
19,#아름원예,51
20,#강남꽃도매,51
21,#플라워,48
22,#힐링,48
23,#자연,48
24,#꽃바구니,47
25,#플로리스트,47
26,#식물,44
27,#꽃선물,43
28,#rose,42
29,#감성사진,42
30,#nature,41
31,#photo,39
32,#수입꽃,37
33,#취미,36
34,#좋아요테러,36
35,#오늘의신상품,36
36,#아름플라워,36
37,#arflower,36
38,#사진스타그램,35
39,#주말,33
40,#art,33
41,#하늘,32
42,#꽃사진,31
43,#그림,31
44,#서울,30
45,#맞팔환영,30
46,#맞팔해요,29
47,#선물,28
48,#garden,27
49,#꽃스타그램,27
