,tag,count
0,#등산스타그램,329
1,#산스타그램,200
2,#등린이,178
3,#산,137
4,#운동하는여자,112
5,#헬스,86
6,#주말,82
7,#산행,75
8,#백패킹,73
9,#트레킹,73
10,#하이킹,72
11,#운동스타그램,67
12,#mountain,65
13,#블랙야크100대명산,64
14,#운동하는남자,63
15,#취미,63
16,#100대명산,62
17,#북한산,59
18,#산린이,57
19,#등산하는여자,55
20,#trekking,55
21,#아웃도어,51
22,#등산그램,49
23,#outdoor,46
24,#자전거,41
25,#대구,40
26,#백패커,39
27,#여행스타그램,38
28,#헬린이,38
29,#블랙야크,37
30,#mountains,36
31,#backpacking,35
32,#등산,35
33,#관악산,33
34,#BAC,33
35,#힐링,33
36,#l4l,31
37,#강남,30
38,#블랙야크알파인클럽,29
39,#골프,28
40,#인천,28
41,#한국,27
42,#성형,27
43,#backpacker,26
44,#nature,26
45,#등산복패션,26
46,#등산복,26
47,#climbing,26
48,#사진,26
49,#서울,26
