,tag,count
0,#젤네일,428
1,#네일,387
2,#nailart,306
3,#nail,304
4,#봄네일,266
5,#이달의아트,228
6,#nails,216
7,#네일아트,182
8,#네일스타그램,178
9,#네일디자인,152
10,#웨딩네일,149
11,#ネイル,141
12,#美甲,127
13,#여름네일,115
14,#시럽네일,113
15,#gelnails,99
16,#네일,93
17,#셀프네일,91
18,#화려한네일,90
19,#글리터네일,90
20,#패디큐어,90
21,#네일맛집,84
22,#ジェルネイル,82
23,#nailstagram,78
24,#gelnail,77
25,#naildesign,77
26,#마블네일,76
27,#ネイルアート,76
28,#アトリエはるかネイルカタログ,76
29,#젤네일,71
30,#ニュアンスネイル,69
31,#네일샵,69
32,#ネイルデザイン,67
33,#스톤네일,65
34,#네일아트디자인,63
35,#젤네일아트,62
36,#ネイルサロン,62
37,#네일아트추천,62
38,#그라데이션네일,59
39,#홍대네일,59
40,#무광네일,57
41,#파츠네일,56
42,#좋아요테러,52
43,#프렌치네일,51
44,#네일추천,49
45,#은평구네일,49
46,#이달의네일,48
47,#유행네일,48
48,#역촌동네일,48
49,#응암동네일,48
