,tag,count
0,#책스타그램,351
1,#책,348
2,#북스타그램,320
3,#독서스타그램,181
4,#책추천,178
5,#자기계발,134
6,#미라클모닝,122
7,#글귀,113
8,#book,100
9,#공감,93
10,#좋은글,93
11,#책읽기,93
12,#글,92
13,#시,81
14,#공부,80
15,#에세이,78
16,#행복,77
17,#bookstagram,76
18,#글쓰기,73
19,#동기부여,71
20,#마음,68
21,#사랑,64
22,#글스타그램,62
23,#인문학,59
24,#책리뷰,58
25,#꿈,57
26,#목표,56
27,#성장,56
28,#사진,54
29,#instagram,52
30,#독서,50
31,#명언,49
32,#그림,49
33,#영화,48
34,#감성,47
35,#힐링,47
36,#소설,47
37,#서평,47
38,#필사,46
39,#클래식,46
40,#새벽기상,45
41,#독서기록,42
42,#북,40
43,#취미,40
44,#좋은글귀,39
45,#독서그램,37
46,#책육아,32
47,#책스타그램,30
48,#독서습관,29
49,#감성글귀,28
