,tag,count
0,#얼스타그램,227
1,#selca,201
2,#likeforfollow,199
3,#like4likes,160
4,#l4l,156
5,#맞팔환영,148
6,#셀카,147
7,#좋아요테러,144
8,#follow4followback,135
9,#instadaily,133
10,#맞팔해요,131
11,#lfl,125
12,#following,108
13,#첫줄,104
14,#맞팔,104
15,#좋아요반사,103
16,#instagram,102
17,#좋반,101
18,#いいね返し,101
19,#선팔맞팔,100
20,#데일리,96
21,#일상,95
22,#좋아요,93
23,#선팔,91
24,#셀스타그램,88
25,#follow4like,88
26,#인스타그램,87
27,#소통,84
28,#첫줄반사,83
29,#팔로우반사,83
30,#셀피,81
31,#팔로우,81
32,#followers,80
33,#좋반테러,73
34,#followme,73
35,#데일리코디,72
36,#첫줄좋반,68
37,#followtrain,68
38,#서울,64
39,#like4like,63
40,#02,62
41,#팔로우미,61
42,#인친,60
43,#ootdfashion,60
44,#선팔하면맞팔,59
45,#소통해요,58
46,#댓글,58
47,#selflove,58
48,#옷스타그램,56
49,#고등학생,56
