,tag,count
0,#사진,94
1,#대구,67
2,#감성,65
3,#코디,60
4,#산책,58
5,#서울,58
6,#사진스타그램,57
7,#벚꽃,55
8,#힐링,55
9,#옷스타그램,54
10,#풍경,45
11,#flowers,44
12,#원피스,41
13,#instagram,40
14,#photo,40
15,#4월,38
16,#봄,36
17,#photography,36
18,#korea,35
19,#인스타그램,34
20,#나들이,34
21,#데이트,33
22,#청주,33
23,#자켓,32
24,#봄코디,32
25,#주말,32
26,#여자코디,32
27,#일상,31
28,#l4l,31
29,#옷가게,31
30,#얼스타그램,30
31,#인스타,30
32,#일상룩,30
33,#천안카페,30
34,#스토어팜,30
35,#취미,29
36,#청주카페,29
37,#지하상가,29
38,#여자옷,28
39,#감성사진,28
40,#nature,28
41,#일상그램,28
42,#청주옷가게,28
43,#로드샵,28
44,#daillook,28
45,#대전카페,28
46,#감성룩,28
47,#여자옷가게,28
48,#청주로드샵,28
49,#프리오더,28
