,tag,count
0,#신상,135
1,#데일리룩,72
2,#일상,70
3,#여름코디,61
4,#instagram,59
5,#사진,58
6,#여름신상,54
7,#패션스타그램,53
8,#등원룩,52
9,#데일리,50
10,#해운대,47
11,#맘스타그램,46
12,#옷스타그램,45
13,#얼스타그램,44
14,#인스타그램,42
15,#여름옷,42
16,#꼬까옷,41
17,#광주,38
18,#동대문,38
19,#도매,38
20,#힐링,37
21,#맞팔,37
22,#여름,36
23,#코디,35
24,#일상룩,35
25,#원피스,32
26,#가을,32
27,#주말,32
28,#초딩맘,32
29,#등원룩,31
30,#신발,31
31,#겨울,31
32,#여름준비,31
33,#바다,31
34,#instadaily,31
35,#제주,31
36,#하늘,31
37,#선팔,30
38,#서울,30
39,#아이옷,30
40,#굿밤,30
41,#운동하는여자,29
42,#셀스타그램,29
43,#강추,29
44,#여아옷,29
45,#키즈패션,29
46,#여성의류,28
47,#딸맘,28
48,#제주도,28
49,#해운대맘,28
