,tag,count
0,#여행스타그램,245
1,#제주도,104
2,#힐링,101
3,#사진,92
4,#instadaily,72
5,#여행에미치다,70
6,#서울,69
7,#제주,64
8,#바다,64
9,#국내여행,63
10,#감성,60
11,#photography,59
12,#selca,58
13,#여행사진,57
14,#여행,55
15,#풍경,53
16,#얼스타그램,52
17,#데이트,51
18,#trip,50
19,#korea,50
20,#photo,50
21,#instagram,50
22,#l4l,49
23,#첫줄,43
24,#travelgram,41
25,#먹방,40
26,#travelphotography,39
27,#제주여행,39
28,#육아스타그램,39
29,#맛스타그램,38
30,#카페투어,38
31,#핫플,38
32,#제주도여행,35
33,#드라이브,35
34,#인스타그램,35
35,#사진스타그램,34
36,#좋아요,34
37,#일상,34
38,#감성사진,33
39,#대구,33
40,#좋아요테러,33
41,#핫플레이스,32
42,#landscape,31
43,#맞팔해요,31
44,#소통,31
45,#jeju,30
46,#팔로우,30
47,#주말,30
48,#취미,29
49,#카페스타그램,29
