,tag,count
0,#떡볶이맛집,181
1,#맛스타그램,179
2,#로제떡볶이,113
3,#분식,110
4,#먹방,109
5,#먹팔,94
6,#먹스타,91
7,#야식,86
8,#집밥,76
9,#순대,66
10,#food,65
11,#홈쿡,56
12,#튀김,52
13,#koreanfood,52
14,#먹스타맞팔,51
15,#오늘뭐먹지,50
16,#김밥,47
17,#협찬,47
18,#foodstagram,45
19,#저녁메뉴,43
20,#간식,42
21,#저녁,42
22,#음식,42
23,#존맛탱,41
24,#배달의민족,41
25,#먹부림,38
26,#국물떡볶이,36
27,#즉석떡볶이,36
28,#음식스타그램,35
29,#맛집추천,35
30,#푸드스타그램,35
31,#떡볶이그램,34
32,#맛있다,34
33,#집밥스타그램,34
34,#맛있다그램,33
35,#요리스타그램,33
36,#윙잇,32
37,#배달맛집,32
38,#소통해요,32
39,#먹팔해요,31
40,#온더테이블,31
41,#점심,31
42,#페이보잇떡볶이,31
43,#foodie,31
44,#떡볶이추천,30
45,#맛집스타그램,30
46,#선팔맞팔,30
47,#맛스타,29
48,#밀떡볶이,29
49,#피자,28
