,date,like,place,tags
0,2021-04-28,595,"Ulsan, South Korea","['#럽스타그램', '#카페', '#뷰맛집', '#경주', '#경주수피아라펜션', '#좋반', '#좋아요반사', '#좋아요테러', '#좋반테러', '#선팔', '#맞팔', '#선팔하면맞팔', '#첫줄반사', '#좋아요', '#맞팔해요', '#소통해요', '#데일리그램', '#일상', '#팔로우미', '#일상스타그램', '#likeforlikes', '#likeforlikeback', '#likelike', '#followforfollowback', '#followme', '#dailygram', '#instagram', '#instagood', '#lfl']"
1,2021-04-28,3114,,"['#내일업데이트', '#필링스', '#데일리룩', '#데일리', '#일상', '#맞팔', '#선팔', '#카페', '#여자쇼핑몰', '#인스타그램', '#셀피', '#소통', '#쇼핑몰', '#옷스타그램', '#좋아요', '#오오티디', '#카페', '#신상카페', '#아웃핏', '#ootd', '#daily', '#f4f', '#selfie', '#instadaily', '#outfit', '#dailylook']"
2,2021-04-28,122,주식회사 벙커컴퍼니,"['#벙커컴퍼니', '#원두납품', '#로스팅', '#스페셜티커피', '#카페', '#하남카페', '#하남미사카페', '#하남스타필드카페', '#카페', '#경기도카페', '#커피', '#coffee', '#barista', '#cafe', '#koreancafe', '#koreadesert', '#하남디저트', '#경기도디저트']"
3,2021-04-28,107,Alchemist Coffee Project - The Pearl,"['#latteart', '#barista', '#coffee', '#cafe', '#losangeles', '#la', '#oc', '#daily', '#follow', '#latte', '#lacafe', '#thetrendybarista', '#slowpoursupply', '#바리스타', '#카페', '#커피', '#커피아트', '#라떼', '#라떼아트', '#카푸치노', '#오씨', '#엘에이', '#엘에이카페', '#일상', '#데일리', '#유학생', '#선팔', '#맞팔']"
4,2021-04-29,278,카페 사소한,"['#대전카페', '#자양동카페', '#사소한', '#일상', '#데일리', '#좋아요', '#좋아요반사', '#카페', '#카페추천', '#카페여행', '#감성카페', '#카페투어', '#카페인테리어', '#카페그램', '#온더테이블', '#카페소품', '#분위기', '#カフェ', '#デザート', '#インテリア', '#카투', '#신상카페', '#일상블로그', '#블로그', '#블로그포스팅', '#coffee', '#写真', '#日常']"
5,2021-04-29,194,Jeonju,"['#전주', '#전주메이크업', '#메이크업', '#증명사진', '#전주메이크업샵', '#25', '#ootd', '#fashionista', '#dailylook', '#dailyfashion', '#대학생', '#취업사진', '#전주카페', '#원광대', '#전북대', '#광주카페', '#카페', '#followｍe', '#following', '#follow4like', '#좋반', '#좋반테러', '#셀스타그램', '#운동하는여자', '#맞팔', '#선팔하면맞팔']"
6,2021-04-29,158,Linchpin,"['#린치핀', '#linchpin', '#인천', '#인천카페', '#송도', '#송도카페', '#카페추천', '#카페', '#일상', '#cafe', '#커피', '#데일리', '#daily', '#coffee', '#좋아요', '#맞팔', '#소통', '#좋반', '#선팔하면맞팔', '#셀피', '#선팔', '#selfie', '#팔로우', '#photograph', '#photo', '#사진계정', '#사진기록']"
7,2021-04-28,143,Slof,"['#고민', '#슬로프', '#군자슬로프', '#군자카페', '#중곡동카페', '#군자맛집', '#데일리', '#사진스타그램', '#빈티지', '#canon', '#filmphotography', '#여행스타그램', '#취미', '#filmcamera', '#필름카메라', '#좋아요반사', '#카페', '#카페투어', '#국내여행', '#서울여행', '#카페스타그램', '#필름사진', '#필름', '#film', '#서울사진찍기좋은곳', '#감성사진', '#일상', '#서울카페', '#글']"
8,2021-04-29,3,,"['#그림', '#그림스타그램', '#그림연습', '#그림쟁이', '#그림계정', '#그림계정맞팔', '#그림일기', '#그림그리기', '#그림힐링', '#그림그리는중', '#그림성장일기', '#그림좋아', '#폰그림', '#폰어플', '#좋은생각', '#명상중', '#카페', '#선인장', '#여자캐릭터', '#귀여운캐릭터', '#아이', '#힐링', '#소통', '#그림계정맞팔', '#좋아요반사', '#좋아요', '#팔로잉', '#followｍe', '#following', '#likeforlikes']"
9,2021-04-29,7,,"['#일상스타그램', '#일상', '#소통', '#맞팔', '#데일리', '#좋아요', '#선팔', '#일상스타그램', '#좋아요반사', '#팔로우', '#셀카', '#좋반', '#셀스타그램', '#인친', '#셀피', '#선팔하면맞팔', '#패션', '#럽스타그램', '#데일리그램', '#행복', '#인스타그램', '#얼스타그램', '#소통해요', '#오오티디', '#일상그램', '#카페', '#서울', '#먹스타그램', '#패션스타그램', '#팔로미', '#팔로워늘리기']"
