,date,like,place,tags
0,2021-05-28,223,,"['#오리지널치트킹세트', '#20210528', '#부산', '#남산동', '#일상', '#맛집', '#돼일리', '#먹방', '#음식', '#먹스타그램', '#맛스타그램', '#부산맛집', '#남산동맛집', '#굽네치킨', '#오리지널', '#치트킹', '#치킨', '#치즈', '#닭', '#JMT', '#먹팔', '#먹스타맞팔', '#먹팔맞팔', '#선팔하면맞팔', '#선팔맞팔', '#하영먹스타_부산', '#하영먹스타_남산동']"
1,2021-05-26,960,,"['#치즈홀릭버거', '#싸이플렉스버거', '#양념치킨싸이버거', '#간장마늘싸이버거', '#힌트_봐야하는데', '#시선이_자꾸_오른쪽으로_가네', '#송중기', '#songjoongki', '#맘잘알', '#치킨버거', '#치즈버거', '#점심추천', '#저녁추천', '#오늘도맘스터치', '#맘스터치', '#갓스터치', '#momstouch', '#맘스타그램', '#믿고먹는맘스터치', '#대확행', '#햄버거', '#치킨']"
2,2021-05-29,428,,"['#야식', '#고칼로리', '#단짠단짠', '#치킨', '#떡볶이', '#피자', '#라면', '#다신샵', '#야식스타그램', '#간식', '#식단', '#곤약현미떡볶이', '#닭가슴살치즈볼', '#곤약이면', '#곤약면', '#비빔면', '#성수동905', '#순살양념치킨', '#분식', '#잇클린', '#치즈볼']"
3,2021-05-28,4734,,"['#죠스떡볶이', '#파티박스', '#죠떡', '#분식맛집', '#분식집', '#분식', '#떡볶이', '#로제', '#로제떡볶이', '#치즈떡볶이', '#순대', '#치킨', '#부산어묵', '#맛스타그램', '#먹스타', '#분식스타그램', '#동네맛집', '#먹스타그램', '#맛집추천', '#맛집스타그램', '#오늘뭐먹지', '#koreanfood', '#kfood']"
4,2021-05-27,5439,,"['#바른치킨', '#대새레드', '#치킨', '#치킨추천', '#치킨맛집', '#치맥', '#야식', '#새우치킨', '#대세레드치킨', '#홈파티', '#먹스타그램', '#맛스타그램', '#먹방', '#냠냠', '#치킨추천', '#야식추천', '#랍스터새우', '#오늘뭐먹지', '#배달음식추천', '#치즈볼', '#치킨스타그램', '#신상스타그램', '#치킨신상', '#새우', '#푸드스타그램', '#푸파', '#고구마치즈볼', '#치킨배달', '#daily', '#instafood']"
5,2021-05-23,764,통집,"['#전주', '#인생치킨', '#오리지널현미베이크', '#치킨', '#치킨', '#가성비', '#전주한옥마을', '#치맥', '#호프집', '#통집', '#통나무집', '#치킨추천', '#치킨매니아', '#치킨집', '#치맥🍻', '#먹스타그램', '#치느님', '#먹스타', '#전북대맛집', '#전북대', '#전주맛집', '#전주', '#전국맛집', '#koreanbbq', '#koreanbbqchicken', '#bbqchicken', '#chicken']"
6,2021-05-26,1299,,"['#maison_de_yul', '#메종드율', '#교촌치킨', '#레몬소금페스토', '#우마이쯔유', '#치킨', '#간장치킨', '#허니간장치킨', '#우마이쯔유_휘뚜루마뚜루🙌🏻', '#레몬소금페스토_할인', '#마늘쫑피클', '#메종드율쿠킹스튜디오']"
7,2021-05-29,291,Pohang,"['#치맥', '#포항', '#포항맛집', '#주말', '#불토', '#토요일', '#닭똥집', '#양념통닭', '#마늘통닭', '#치킨', '#맥주', '#야식', '#오늘의밥상', '#집밥', '#홈쿡', '#먹', '#먹스타그램', '#맛스타그램', '#먹부림', '#먹방', '#먹팔', '#식단', '#헬스', '#헬린이', '#운동하는남자', '#운동하는직장인', '#운동기록', '#일상', '#먹소통', '#운동소통']"
8,2021-05-30,178,어디긴 내 집이지,"['#닭강정', '#쿠킹클래스', '#먹방', '#먹스타그램', '#맛스타그램', '#푸드스타그램', '#데일리푸드', '#데일리', '#치킨']"
9,2021-05-31,18,치킨앤카레군 홍대점,"['#홍대맛집', '#치킨앤카레군', '#홍대치킨', '#치킨', '#치킨맛집', '#먹스타그램', '#맛스타그램', '#먹팔', '#먹팔맞팔', '#좋아요', '#좋아요테러', '#hongdae', '#chicken', '#rose', '#pasta', '#good', '#eat', '#food', '#cook', '#love', '#following']"
10,2021-05-31,2,,"['#주말', '#따릉이', '#입문', '#가양대교', '#안양천합수부', '#안장', '#치킨', '#자전거']"
11,2021-05-31,11,,"['#bhc치킨', '#치킨', '#마쵸킹치킨', '#마쵸킹', '#골드킹치킨', '#골드킹', '#모닝치킨', '#아침에치킨', '#나란여자', '#맛있어', '#넘흐맛있자나', '#맛스타', '#맛집', '#맛스타그램', '#맛집스타그램', '#먹스타', '#먹스타스램', '#아침에뭐먹지', '#치킨사랑', '#맛있는치킨추천', '#맛있는치킨', '#농부의작업실', '#농부의작업실도자기', '#먹방', '#먹부림', '#푸드스타그램', '#소통환영', '#소통해요', '#소통에진심인편']"
12,2021-05-31,0,"Toronto, Ontario","['#교촌', '#레드소스', '#치킨', '#치킨만들기', '#집에서치킨', '#후라이드만들기', '#후라이드', '#치맥']"
13,2021-05-31,10,,"['#야식', '#마피아떡볶이', '#비비큐', '#먹스타그램', '#떡볶이', '#치킨']"
14,2021-05-31,11,,"['#210530', '#이런칼국수를봤나', '#칼국수', '#해물파전', '#커피하겐나', '#먹구름', '#태풍', '#강풍', '#대부도', '#더치킨에리카본점', '#치킨', '#일상', '#먹스타그램']"
