,date,like,place,tags
0,2021-05-29,460,변산반도,"['#변산마실길', '#커플', '#도레도레', '#데이지꽃', '#얼스타그램', '#럽스타그램', '#마호가니', '#인친', '#맞팔', '#선팔', '#선팔하면맞팔', '#좋아요', '#좋반', '#팔로우', '#팔로우미', '#댓글', '#데이트', '#오오티디', '#커플룩', '#시밀러룩', '#커플사진', '#필무드', '#소통환영', '#강화도카페', '#서울가볼만한곳', '#샤스타데이지', '#제주카페', '#파주카페']"
1,2021-05-29,9331,,"['#쏘야쭝아', '#소확행', '#커플', '#데이트', '#인생네컷']"
2,2021-05-29,301,鎌倉文学館,"['#夫婦デート', '#毎日が笑顔で溢れてる', '#夫婦', '#カップル', '#커플', '#부부의세계', '#夫婦の休日', '#夫婦二人暮らし', '#夫婦写真', '#カップルフォト', '#カップルコーデ', '#夫婦コーデ', '#アラフィフ', '#アラフィフコーデ', '#アラフィフファッション', '#ファッションスナップ', '#zara', '#ザラジョ', '#ザラコーデ', '#dolceandgabbana', '#アラフィフライフ', '#アラフィフ夫婦', '#여자', '#패션', '#귀엽다', '#멋쟁이', '#필름사진', '#사진스타그램', '#인물사진촬영', '#자화상']"
3,2021-05-29,117,송정해수욕장,"['#부산', '#부산여행', '#송정', '#송정해수욕장', '#광안리', '#해운대', '#스포츠', '#서핑', '#럽스타그램', '#커플', '#얼스타그램', '#여름', '#좋아요반사', '#셀카', '#셀스타그램', '#인친', '#맞팔', '#맞팔해요', '#맞팔환영', '#일상', '#데일리', '#오오티디', '#바다', '#followforfollowback', '#f4f', '#beach', '#surfing', '#koreanboy', '#sport', '#사랑해']"
4,2021-05-30,492,"Ulsan, Korea","['#캠풍', '#감성캠핑', '#육아스타그램', '#노지캠핑', '#캠핑', '#캠핑스타그램', '#주말캠퍼', '#캠린이', '#초보캠퍼', '#차박', '#캠핑족', '#대구핫플', '#제주핫플', '#부산카페', '#캠핑장리뷰', '#솔캠', '#캠핑룩', '#허브쉘터', '#부부여행', '#캠핑음식', '#커플여행', '#커플캠핑', '#미니타프', '#커플', '#캠프닉', '#차크닉', '#부부캠퍼', '#경주핫플', '#레트로스', '#은린']"
5,2021-05-29,306,千里浜なぎさドライブウェイ,"['#シャボン玉', '#嫁を撮る幸せ', '#夫婦二人暮らし', '#커플', '#夫婦の休日', '#夫婦の時間', '#夫婦デート', '#嫁グラフィー', '#嫁フォト', '#嫁スタグラム', '#嫁', '#古着女子', '#ファッションスナップ', '#アラフィフ', '#幸せな瞬間をもっと世界に', '#儚くて何処か愛おしい様な', '#その瞬間に物語を', '#何気ない瞬間を残したい', '#filmphotography', '#analogfilm', '#analogphotography', '#photogram_archive', '#フィルム写真', '#フィルムに恋してる', '#필름사진', '#生活とフィルム', '#カメラのある生活', '#日々フィルム', '#analogue_people']"
6,2021-05-29,117,근포동굴,"['#거제', '#거제도여행', '#거제도', '#근포동굴', '#근포마을땅굴', '#근포땅굴', '#사진', '#커플', '#커플사진', '#럽스타그램']"
7,2021-05-30,119,홍대입구역,"['#좋아요', '#좋반', '#좋튀', '#좋테', '#예능', '#꿀잼', '#웃긴', '#웃긴짤', '#개꿀잼', '#핵꿀잼', '#짤방', '#레전드', '#대유잼', '#병맛', '#힐링', '#빵터짐', '#육아', '#육아맘', '#워킹맘', '#럽스타', '#커플', '#럽스타그램', '#연인', '#드라마', '#명장면', '#명대사']"
8,2021-05-29,551,,"['#井の頭恩賜公園', '#井の頭公園', '#吉祥寺', '#커플', '#한국스타일', '#데이트', '#instagram', '#instapic', '#instagood', '#instalike']"
9,2021-05-30,0,,"['#새옷입고', '#축하공연', '#재롱잔치', '#잘추네', '#픽미픽미픽미업', '#방구석1열', '#뽀뽀', '#초집중', '#제점수는요', '#연애', '#연애스타그램', '#커플', '#커플스타그램', '#데이트', '#데이트스타그램', '#럽스타그램', '#couple', '#date', '#couplestagram', '#datestagram', '#lovestagram', '#20210515', '#210515', '#토요일', '#saturdays', '#화목해보이나', '#씰룩씰룩', '#눈을뗄수가없어', '#fcmm', '#커플룩']"
