,date,like,place,tags
0,2021-04-28,365,,"['#김빵순', '#2', '#자연이좋을나이', '#빵순이', '#시바이누', '#시바견', '#shibamania', '#shibainu', '#shiba', '#petsagram', '#반려견', '#dogstagram', '#dog', '#daily', '#pet', '#happy', '#dogsofinstagram', '#doggy', '#follow', '#puppy', '#강아지', '#강아지모델', '#멍스타그램', '#しばいぬ', '#しばけん', '#柴犬']"
1,2021-04-27,613,,"['#애기너버미', '#내동생늘봄이', '#말티즈', '#maltese', '#좋아요', '#반려견', '#강아지', '#일상', '#인스타독', '#강아지일상', '#가족', '#puppy', '#f4f', '#daily', '#family', '#babydog', '#cute', '#fluffy']"
2,2021-04-28,1511,,"['#광고', '#힐스코리아', '#힐스사이언스다이어트', '#힐스코리아', '#힐스사료', '#소형견사료', '#반려견사료', '#강아지사료', '#강아지사료추천', '#말티즈사료', '#솔나무스타그램', '#반려견', '#강아지', '#말티즈', '#maltese', '#말티즈그램', '#멍스타그램', '#도그스타그램', '#펫스타그램', '#인스타독', '#pet', '#dog', '#dogs', '#dogstagram', '#petstgram', '#puppy', '#instadog', '#instapuppy', '#instapet']"
3,2021-04-28,1135,,"['#tori', '#사랑해', '#토리', '#가족', '#푸들', '#poodle', '#반려견', '#멍멍이', '#강아지', '#애견', '#애견스타그램', '#펫스타그램', '#인스타독', '#인스타퍼피', '#인스타펫', '#pet', '#dog', '#puppies', '#petstagram', '#instapuppy', '#instadog', '#pups']"
4,2021-04-28,672,,"['#강아지', '#강아지그램', '#반려견', '#반려견그램', '#댕댕이', '#믹스견', '#유기견', '#유기견입양', '#연두', '#연두스타그램', '#바둑이', '#표정부자', '#웃긴사진', '#인싸바라기', '#쿠앤크', '#쫄보', '#낯가림', '#doggo', '#dogsofinstagram', '#instadog', '#mixedbreed', '#너구리출몰', '#간식내놔', '#얼굴이2배']"
5,2021-04-27,946,,"['#엘르독', '#카방이', '#협찬', '#봉봉이', '#비숑아님', '#믹스', '#멍스타그램', '#강아지', '#반려견', '#사지마세요입양하세요', '#dogstagram', '#instadog', '#fluffy', '#dog', '#dontbuyadopt']"
6,2021-04-28,2751,,"['#덕순', '#덕스타그램', '#펫스타그램', '#반려동물', '#반려견', '#믹스', '#믹스견', '#시고르자브종', '#강아지', '#댕댕이', '#갱얼쥐', '#dog', '#puppy', '#daily', '#cute']"
7,2021-04-28,128,속초해변,"['#반려견', '#개스타그램', '#멍스타그램', '#frenchbulldog', '#dog', '#dogstagram', '#애견인', '#frenchbulldoglove', '#frenchielove', '#펫스타그램', '#프렌치불독', '#브린들', '#frenchie', '#바닷가', '#해수욕장', '#tickless', '#강아지', '#댕댕이', '#フレンチブルドッグ', '#속초', '#속초해수욕장', '#프불', '#이디야커피', '#frenchbulldogfeature', '#dogs', '#독스타그램', '#한모찌']"
8,2021-04-28,0,,"['#강아지', '#진드기', '#버그가드', '#해충방지옷', '#펫팅']"
9,2021-04-28,6,,"['#개스타', '#개스타그램', '#견스타', '#견스타그램', '#강아지', '#댕댕이', '#귀요미', '#맞팔환영', '#선팔', '#선팔하면맞팔', '#followforfollowback', '#인친', '#맞팔', '#일상', '#daily', '#인스타', '#인친', '#팔로워', '#좋아요', '#좋아요반사', '#좋반', '#fff', '#instagood', '#f4f', '#followme', '#selfie', '#팔로우']"
10,2021-04-28,34,,"['#팔로우', '#01', '#맞팔', '#일상', '#셀스타그램', '#얼스타그램', '#selfi', '#좋아요', '#좋반', '#좋아요반사', '#いいね返し', '#いいね返しは絶対', '#데일리룩', '#dailylook', '#ootd', '#likeforfollow', '#likeforlikes', '#likeforlikeback', '#like4follow', '#likeforlike', '#fff', '#dailylook', '#강남', '#멍스타그램', '#강아지', '#폼피치', '#거울삿', '#전신샷', '#염색', '#흑발']"
11,2021-04-28,7,,"['#푸푸', '#콩콩', '#강아지일상', '#귀여워그램', '#puppystagram', '#일상', '#일상스타그램', '#소통', '#소통스타그램', '#우리애기', '#멍멍이그램', '#멍뭉이', '#푸들', '#포메', '#포메라니안', '#유기견', '#댕댕이', '#강아지', '#강형욱', '#cutedog', '#뽀시래기', '#내새끼', '#크림푸들', '#개스타그램', '#dog', '#puppy', '#poodle', '#pomeranian', '#dogstagram', '#cute']"
12,2021-04-28,8,,"['#멍스타그램', '#파피용', '#빠삐용', '#강아지', '#강아지스타그램', '#개스타그램', '#반려견', '#댕댕이', '#댕댕이그램', '#dogstagram', '#puppystagram', '#귀여운강아지', '#콘티넨탈토이스파니엘']"
13,2021-04-28,6,,"['#말티즈', '#몰티즈', '#강아지', '#강아지옷', '#강아지그램', '#댕스타그램', '#멍팔', '#댕팔', '#멍멍이', '#멍멍이그램', '#일상', '#반려견', '#반려견그램', '#강아지일상', '#댕댕', '#멍멍', '#dog', '#dogstagram', '#puppy', '#인스타펫', '#인스타독', '#daily', '#instadaily', '#instadog', '#instapet']"
14,2021-04-28,9,,"['#비숑', '#비숑스타그램', '#비숑프리제', '#비숑그램', '#반려견', '#강아지', '#산책', '#공원', '#개린이', '#멍팔', '#멍스타그램', '#팔로우', '#벌써', '#더움', '#데일리', '#bichon', '#bichonfrise', '#dogs', '#instapet', '#bichongram', '#dogstagram', '#daily', '#pet', '#puppy']"
15,2021-04-28,4,,"['#진돗개', '#진도견', '#진도믹스', '#강아지', '#댕댕이', '#jindodogs', '#jindomix', '#koreanjindo']"
16,2021-04-28,1,,"['#펫피', '#펫피베이직', '#강아지', '#바디티슈', '#CJ오쇼핑']"
17,2021-04-28,6,강남역,"['#웃긴', '#유머', '#유머스타그램', '#웃긴짤', '#예능레전드', '#개꿀잼', '#꿀잼', '#핵꿀잼', '#짤방', '#레전드', '#오늘의유머', '#빵터짐', '#육아', '#럽스타스램', '#이동욱', '#호불호', '#드라마', '#명장면', '#명대사', '#강아지', '#선팔', '#맞팔', '#좋반', '#좋아요', '#좋아요반사', '#맞팔해요', '#맞팔환영']"
18,2021-04-28,5,,"['#プードル', '#タイニープードル', '#クリーム', '#パピー', '#犬のいる暮らし', '#いぬすたぐらむ', '#犬バカ部', '#いぬのきもち', '#ふわもこ部', '#短足部', '#dog', '#toypoodle', '#puppy', '#개', '#반려견', '#강아지', '#멍스타그램', '#개스타그램', '#토입뿌드르', '#일상', '#좋아요환영', '#팔로우', '#일상스타그램', '#셀카', '#오늘의사진', '#애정', '#ㅅㄹㅎ', '#알라뷰', '#럽스타그램']"
19,2021-04-28,4,,"['#기쁨이', '#멍스타그램', '#변신', '#말티즈', '#귀요미', '#강아지', '#견스타램', '#반려견', '#견스타그램']"
20,2021-04-28,8,,"['#감사합니다', '#고동아표정관리좀해줄래', '#프블은사랑입니다', '#좋아요', '#반려견', '#강아지일상', '#개엄마', '#강아지', '#프렌치불독그램', '#프불스타그램', '#프렌치불독', '#크림프렌치불독', '#화운프렌치불독', '#레드화운', '#견생샷', '#반려견사진', '#반려인', '#견주소통', '#일상', '#불독', '#펫스타그램', '#불독스타그램', '#댕댕이', '#셀피', '#daily', '#pet', '#frenchbulldog', '#dog', '#doglover']"
21,2021-04-28,3,,"['#시츄', '#아리', '#강아지']"
22,2021-04-28,9,,"['#알밤이', '#치와와', '#단모치와와', '#장모치와와', '#산책중', '#dog', '#chihuahua', '#댕댕이', '#멍뭉이그램', '#와와그램', '#개린이', '#강아지']"
23,2021-04-28,4,,"['#말티즈', '#말티스타그램', '#강아지', '#멍멍이', '#댕댕이', '#멍스타그램', '#견스타그램', '#댕댕이그램', '#오늘의귀요미', '#힐링', '#9살', '#동안강아지']"
24,2021-04-28,17,,"['#강아지', '#댕댕이', '#멍멍이', '#강아지그램', '#댕댕이그램', '#펫스타그램', '#개스타그램', '#dogstagram', '#petstagram', '#puppystagram', '#맞팔', '#댕팔']"
25,2021-04-28,11,,"['#프렌치불독', '#프불', '#불독', '#프불스타그램', '#프렌치불독그램', '#프렌치불독은사랑입니다', '#개스타그램', '#개스타그램🐶', '#반려인소통', '#반려인맞팔', '#반려인스타그램', '#내이름은감자', '#감자스타그램', '#귀여운강아지', '#중형견', '#애견인', '#강아지', '#좋아요']"
