,date,like,place,tags
0,2021-05-27,508,관방제림,"['#셀스타그램', '#얼스타그램', '#데일리룩', '#셀기꾼', '#셀피', '#일상', '#소통', '#좋튀', '#좋반', '#좋아요반사', '#selfie', '#kbeauty', '#카페투어', '#신상카페', '#선팔', '#인친', '#광주근교나들이', '#광주카페', '#여자코디', '#양림동카페', '#휴가룩', '#여행룩', '#꾸안꾸', '#데이트룩', '#동명동카페', '#피부관리', '#패션', '#담양', '#관방제림']"
1,2021-05-26,1768,,"['#광고', '#마크곤잘레스', '#Markgonzales', '#마크곤잘레스백팩', '#백팩추천', '#백팩코디', '#레이어드', '#여름코디', '#남자코디', '#피팅모델', '#모델', '#남친룩', '#남친짤', '#패션', '#데일리룩', '#봄코디', '#캐주얼', '#ootd', '#dm']"
2,2021-05-27,181,,"['#데일리룩', '#데일리', '#데일리룩코디', '#오오티디', '#오오티디룩', '#오오티디패션', '#스트릿패션', '#스트릿', '#스트릿룩', '#캐주얼룩', '#캐주얼', '#캐주얼코디', '#패션', '#패션스타그램', '#패션코디', '#스웻팬츠', '#조거팬츠', '#조거팬츠코디', '#뉴발란스993', '#롱슬리브', '#긴팔', '#긴팔티', '#학생코디', '#남자코디', '#봄코디', '#비니', '#비니코디', '#ootd', '#ootdfashion', '#데일리코디']"
3,2021-05-27,157,"Daegu, South Korea","['#기변', '#40대한정판', '#레콘에디션', '#Rubiconrecon', '#지프', '#지프웨이브', '#지프족', '#olllllllo', '#랭글러', '#루비콘', '#rubicon', '#wrangler', '#jeep', '#jeepkorea', '#jeeplove', '#캠핑', '#차박', '#대구', '#동성로', '#f4f', '#ootd', '#패션', '#패션스타그램', '#선팔', '#맞팔', '#팔로우', '#팔로워', '#도전', '#소통']"
4,2021-05-27,165,,"['#미니멀룩', '#미니멀', '#여친룩', '#대학생룩', '#셀스타그램', '#셀카', '#여름코디', '#무채색', '#아우로', '#출근룩', '#회사원룩', '#놈코어룩', '#옷스타그램', '#패션', '#패션스타그램', '#데이트룩', '#데일리룩', '#오오티디', '#스타일', '#minimal', '#daily', '#좋아요', '#ootd']"
5,2021-05-27,156,그럼외도,"['#패션', '#패션스타그램', '#ootd', '#daily', '#스트릿패션', '#스트릿', '#아메카지', '#아메카지룩', '#미니멀', '#미니멀룩', '#미니멀리즘', '#캐주얼룩', '#캐주얼', '#옷', '#옷스타그램', '#팔로우', '#데일리룩', '#데일리', '#오오티디', '#맞팔', '#선팔하면맞팔', '#좋아요반사', '#좋아요', '#좋반', '#follow', '#팔로우미', '#셀카', '#ootd', '#dailylook', '#제주도', '#제주']"
6,2021-05-27,225,홍대,"['#홍대', '#합정', '#상수', '#홍대술집', '#홍대클럽', '#힙합패션', '#사보타지', '#꼼보포차', '#스트릿', '#스트릿코디', '#오오티디', '#데일리룩', '#오늘의코디', '#일상', '#데일리', '#선팔하면맞팔', '#맞팔', '#좋반', '#소통', '#패션', '#블랙타투']"
7,2021-05-27,454,"Seoul, Korea","['#style', '#minimal', '#fashion', '#dailylook', '#selfie', '#남자코디', '#미니멀', '#패션', '#코디추천', '#캐주얼룩', '#캐주얼코디', '#오오티디', '#남자쇼핑몰', '#쇼핑몰', '#오늘뭐입지', '#꾸안꾸', '#데일리룩', '#남친룩', '#아웃핏', '#원마일웨어']"
8,2021-05-27,250,LOOOP,"['#카페', '#성수', '#성수카페', '#성수동카페', '#패션', '#패션스타그램', '#미니멀', '#미니멀룩', '#캐주얼', '#캐주얼룩', '#데일리룩', '#오오티디', '#오오티디패션', '#아웃핏', '#셀피', '#셀카', '#cafe', '#fashion', '#minimal', '#fashiongram', '#minimallook', '#casual', '#casualstyle', '#dailylook', '#ootd', '#outfit', '#ootdfashion', '#selfie', '#selca']"
9,2021-05-27,4,광주 롯데백화점,"['#광주', '#롯데백화점', '#컨버스', '#롯데광주', '#converse', '#척테일러', '#올스타', '#데일리슈즈', '#데일리룩', '#데일리', '#패션', '#패피', '#오오티디', '#좋아요', '#신발', '#좋아요반사', '#좋튀', '#선팔', '#맞팔', '#좋튀잡', '#좋아요테러', '#소통']"
10,2021-05-27,1,,"['#맞팔', '#좋아요', '#선팔', '#선팔하면맞팔', '#팔로워늘리기', '#소개계정맞팔', '#좋반', '#좋아요반사', '#맞팔해요', '#셀카', '#좋아요늘리기', '#01', '#첫줄', '#훈남', '#맞팔100', '#협찬', '#03', '#좋테', '#소개계정', '#팔로우', '#좋테', '#팔로우늘리기', '#팔로워구매', '#팔로워판매', '#팔로우환영', '#선팔맞팔', '#첫줄반사', '#패션', '#오늘의훈녀', '#학생']"
11,2021-05-27,0,,"['#맞팔', '#좋아요', '#선팔', '#선팔하면맞팔', '#팔로워늘리기', '#소개계정맞팔', '#좋반', '#좋아요반사', '#맞팔해요', '#셀카', '#좋아요늘리기', '#01', '#첫줄', '#훈남', '#맞팔100', '#협찬', '#03', '#좋테', '#소개계정', '#팔로우', '#좋테', '#팔로우늘리기', '#팔로워구매', '#팔로워판매', '#팔로우환영', '#선팔맞팔', '#첫줄반사', '#패션', '#오늘의훈녀', '#학생']"
12,2021-05-27,2,,"['#훈남', '#외국인', '#남자', '#잘생긴남자', '#잘생긴사람', '#남자패션', '#패션', '#01', '#00', '#99', '#98', '#외국모델', '#외국인모델', '#외국인', '#틱톡커', '#틱톡댄스', '#틱톡영상', '#틱톡', '#남자코디']"
13,2021-05-27,7,,"['#폴로', '#티오티반팔', '#빈티지', '#빈티지샵', '#스트릿', '#스트릿패션', '#오오티디', '#ootd', '#데일리룩', '#아메카지', '#아메카지룩', '#좋반', '#좋아요', '#패션', '#코디', '#학생코디', '#학생옷', '#할인', '#오늘의코디', '#패션코디', '#올드스쿨룩', '#대학생패션', '#학생룩']"
