,date,like,place,tags
0,2021-04-29,1978,,"['#nail', '#네일', '#네일아트', '#nailart', '#젤', '#gel', '#젤아트', '#gelart', '#젤네일', '#gelnail', '#광주', '#광주네일', '#핸드패인팅', '#handpainting', '#nails', '#nailstagram', '#이지네일', '#easynail', '#동명로71', '#동명동네일', '#심플네일디자인', '#마블네일']"
1,2021-04-29,201,더기네일,"['#더기네일', '#쏘야쌤', '#이달의아트']"
2,2021-04-29,152,,"['#haruadaynail', '#nails', '#nailart', '#nailpolish', '#台北美甲', '#士林美甲', '#劍潭美甲', '#凝膠指甲', '#美甲', '#暈染', '#暈染美甲', '#美甲推薦', '#油畫美甲', '#暈染光療', '#手繪美甲', '#光療', '#光療指甲', '#光療美甲', '#光療凝膠', '#新北美甲', '#平價美甲', '#韓國美甲', '#美甲設計', '#簡約美甲', '#韓系美甲', '#色塊美甲', '#光療', '#霧面光療', '#霧面美甲', '#dollygel', '#네일아트']"
3,2021-04-29,970,,"['#올슨네일', '#젤네일', '#젤', '#네일', '#데일리', '#사천네일샵', '#사천', '#좋아요', '#인스타그램', '#셀프네일', '#오오티디', '#소통', '#맞팔', '#네일아트', '#nail', '#art', '#젤네일잘하는집', '#인스타네일', '#사천네일', '#손스타그램', '#넬스타그램', '#beauty', '#nailswag', '#naildesign', '#instanails', '#gel', '#gelart', '#gelnail', '#koreanail', '#nailstagram']"
4,2021-04-29,446,,"['#네일플루브아', '#드라이로즈네일', '#플루브아', '#네일플루브아', '#네일', '#젤네일', '#네일아트', '#젤네일아트', '#네일스타그램', '#손스타그램', '#네일디자인', '#nails', '#gelnails', '#깔끔한네일', '#시스루네일', '#데일리', '#일상', '#뷰티스타그램', '#맞팔', '#선팔', '#좋아요', '#소통', '#무광네일', '#서울대입구네일', '#샤로수길네일', '#누드톤네일', '#심플네일', '#관악구네일']"
5,2021-04-30,329,야탑역,"['#젤네일', '#네일아트', '#젤네일아트', '#젤네일추천', '#네일리', '#분당네일', '#분당네일샵', '#성남네일', '#성남네일샵', '#야탑네일', '#야탑역네일', '#야탑젤네일', '#야탑네일리', '#웨딩네일', '#웨딩젤네일', '#그라데이션네일', '#용인네일', '#광주네일', '#판교네일', '#시럽그라데이션', '#그라맛집', '#풀스와네일', '#자개네일', '#페디젤네일', '#프렌치네일', '#파우더네일', '#시럽네일', '#머메이드네일', '#마블네일']"
6,2021-04-29,913,,"['#네일디어윤', '#네일', '#네일아트', '#젤네일', '#페디', '#페디큐어', '#여름네일', '#체크네일', '#봄네일', '#웨딩네일', '#신부네일', '#웨딩촬영', '#웨딩스냅', '#웨딩드레스', '#무광네일', '#화려한네일', '#풀스톤네일', '#강남네일', '#서초네일', '#교대네일', '#방배네일', '#봄네일', '#화려한네일', '#스톤네일', '#스와로브스키', '#트위드네일']"
7,2021-04-29,889,,"['#아이탬글리터', '#크레팝스', '#탦네일', '#셀프네일', '#송도신도시네일', '#연수구네일', '#연수동네일', '#젤네일', '#젤네일아트', '#네일', '#네일아트', '#이달의아트', '#네일디자인', '#시스루네일', '#글리터네일', '#웨딩네일', '#그라데이션네일', '#스톤네일', '#nailstagram', '#nails', '#ネイルアート', '#ネイル', '#캐릭터네일', '#네일연장', '#손톱연장', '#웨딩촬영', '#화려한네일', '#무광네일', '#체크네일', '#봄네일']"
8,2021-04-29,416,홍대입구역,"['#아크릴연장', '#다이아몬드젤', '#홍대네일', '#마포구네일', '#연남동네일', '#일산네일', '#강서구네일', '#네일', '#강남네일', '#네일아트', '#라인네일', '#명동네일', '#신촌네일', '#아크릴네일', '#ombrenails', '#젤연장', '#손톱연장', '#수채화네일', '#네일수강', '#naildesign', '#서초네일', '#nails', '#핸드페인팅네일', '#ネイルアート', '#드로잉네일', '#강남손톱연장', '#일산손톱연장', '#nail']"
9,2021-04-30,0,하찌네일,"['#첫줄', '#패턴아트', '#페이즐리네일', '#페이즐리패턴', '#선정릉네일', '#삼성동네일', '#유지력좋은네일샵', '#하찌네일', '#강남네일', '#강남네일샵', '#선정릉역네일샵', '#압구정네일', '#선정릉역', '#선정릉', '#좋아요', '#네일아트', '#청담동네일', '#유지력좋은네일샵', '#삼성동유지력좋은네일샵', '#teo_153']"
