,date,like,place,tags
0,2021-05-26,662,,"['#책나눔', '#무야호', '#월요병도산재처리해주세요', '#더이상웃어주지않기로했다', '#이한마디가나를살렸다', '#나로살아가는기쁨', '#나의하루는4시30분에시작된다', '#생존교양', '#인공지능시대가두려운사람들에게', '#심리학이어린시절을말하다', '#꼭알고싶은심리학의모든것', '#농담', '#추첨아님', '#선물', '#마지막날🏃🏻', '#월간수북', '#책나눔이벤트', '#이벤트', '#책읽는엄마', '#책공구', '#책육아', '#독서', '#북스타그램', '#책스타그램', '#김미경', '#책추천']"
1,2021-05-25,525,,"['#민음사', '#무라카미하루키', '#노르웨이숲', '#취미', '#독서', '#책', '#글', '#글스타그램', '#책스타그램', '#북스타그램', '#독서스타그램', '#book', '#bookstagram', '#booklover', '#노르웨이의숲']"
2,2021-05-26,812,,"['#온리포유', '#감성스타그램', '#글귀', '#글귀스타그램', '#소통', '#일상', '#데일리', '#감성', '#공감', '#마음', '#좋아요', '#사랑', '#감성글', '#공감글', '#좋은글', '#공감글귀', '#좋은글귀', '#사랑글귀', '#명언', '#위로글귀', '#힐링글귀', '#힐링', '#북스타그램', '#독서', '#캘리그라피', '#손글씨', '#부산', '#책스타그램', '#인간관계', '#영화']"
3,2021-05-26,282,,"['#나는왜참으려고만할까', '#나는왜참으려고만할까_나예', '#나왜참', '#책추천', '#인문학', '#심리', '#책', '#책스타그램', '#북스타그램', '#독서', '#독서스타그램', '#책_나예', '#책기록', '#책리뷰', '#도서리뷰', '#책그램', '#독서그램']"
4,2021-05-26,2316,,"['#독서법', '#체인지그라운드', '#자기계발', '#자기관리', '#동기부여', '#좋은글', '#공부스타그램', '#공부하는직장인', '#독서법', '#독서', '#책', '#천재']"
5,2021-05-25,2174,,"['#그때의나에게해주고싶은이야기', '#글', '#글귀', '#좋은글', '#감성글', '#책', '#책스타그램', '#글스타그램', '#감성', '#감성사진', '#감성스타그램', '#럽스타그램', '#북스타그램', '#독서', '#에세이', '#시스타그램', '#새벽감성', '#공감', '#갬성', '#책추천', '#힐링', '#좋은글귀', '#명언', '#소통', '#인스타데일리', '#투에고', '#instagram', '#손글씨', '#글귀스타그램', '#감성글귀']"
6,2021-05-26,561,,"['#계속하게만드는하루관리습관', '#북스타그램', '#오늘북리뷰', '#습관책', '#책추천', '#책스타그램', '#동기부여', '#추천책', '#독서', '#습관의힘']"
7,2021-05-24,1378,,"['#그때의나에게해주고싶은이야기', '#글', '#글귀', '#좋은글', '#감성글', '#책', '#책스타그램', '#글스타그램', '#감성', '#감성사진', '#감성스타그램', '#럽스타그램', '#북스타그램', '#독서', '#에세이', '#시스타그램', '#새벽감성', '#공감', '#갬성', '#책추천', '#힐링', '#좋은글귀', '#명언', '#소통', '#인스타데일리', '#투에고', '#instagram', '#손글씨', '#글귀스타그램', '#감성글귀']"
8,2021-05-26,1328,,"['#나는어른이되어서도가끔울었다', '#글', '#글귀', '#좋은글', '#감성글', '#책', '#책스타그램', '#글스타그램', '#감성', '#감성사진', '#감성스타그램', '#럽스타그램', '#북스타그램', '#독서', '#에세이', '#시스타그램', '#새벽감성', '#공감', '#갬성', '#책추천', '#힐링', '#좋은글귀', '#명언', '#소통', '#인스타데일리', '#투에고', '#instagram', '#손글씨', '#글귀스타그램', '#감성글귀']"
9,2021-05-27,1,,"['#증산정보도서관', '#책읽기', '#독서', '#도서관', '#독서', '#구립증산도서관', '#해피데이', '#mkyu']"
10,2021-05-27,2,,"['#인체표현', '#드로잉', '#일러스트', '#한양수자인', '#성일초등학교', '#성일초미술학원', '#아동미술', '#강동구미술', '#성내동아동미술', '#성내초등학교', '#도담어린이집', '#독서토론', '#독서', '#성내동미술학원', '#고학년미술', '#drawing', '#문자도', '#동양화', '#민화']"
11,2021-05-27,2,,"['#학교도서관', '#사서교사', '#초등', '#초등학교', '#팝업북', '#독서', '#독서수업', '#학교']"
