,date,like,place,tags
0,2021-04-29,246,환상의 섬 Jeju Island,"['#주말엔제주산책', '#하효쇠소깍해변', '#제주산책', '#제주여행', '#제주가볼만한곳', '#제주사진', '#제주여름', '#여름제주', '#여름', '#제주바다', '#제주관광', '#관광지', '#해변', '#소니이미지갤러리', '#소니미러리스', '#취미사진', '#사진계정맞팔', '#사진찍기좋은곳', '#제주풍경', '#풍경사진', '#제주숨은명소']"
1,2021-04-29,1349,,"['#메르시유', '#merciu', '#여름']"
2,2021-04-28,2526,,"['#바디프로필', '#바디', '#바디프로필의상', '#눈바디', '#바프', '#바프준비', '#모노키니', '#수영복', '#비키니룩', '#수영복코디', '#오오티디', '#스튜디오촬영', '#자연광스튜디오', '#모델', '#일반인모델', '#여자모델', '#여름']"
3,2021-04-29,216,카페피어라,"['#봄', '#여름']"
4,2021-04-28,6693,,"['#koreangirl', '#koreanmodel', '#여자모델', '#모델', '#싱어송라이터', '#화보', '#스냅사진', '#hawaii', '#hawaiiangirl', '#여름', '#꽃', '#いいね返し', '#おしゃれさんと繋がりたい', '#韓国人と繋がりたい', '#黒髪', '#今日のコーデ', '#自撮り女子', '#オルチャン', '#韓国メイク']"
5,2021-04-30,167,"Busan 釜山, South Korea","['#부산', '#부산맛집', '#부산핫플', '#해운대', '#해운대스케줄', '#해운대카페', '#그랜드조선부산', '#파라다이스호텔부산', '#힐튼호텔', '#아난티코브', '#기장', '#광안리', '#시그니엘부산', '#바디프로필', '#여름', '#서면', '#서면핫플', '#서면술집', '#태닝', '#부산태닝', '#이비자태닝', '#이비자태닝부산', '#서면카페', '#서면핫플', '#전포동카페', '#전포동핫플', '#전포동술집', '#서면술집']"
6,2021-04-29,250,Stayhill Resort,"['#수영장', '#자쿠지', '#리조트', '#스파', '#사이판', '#하루', '#일상', '#밤', '#물놀이', '#수영복', '#여름', '#사진', '#인스타', '#인스타그램', '#사진스타그램', '#좋아요', '#팔로우', '#맞팔', '#디엠', '#밤수영', '#힐링', '#데일리', '#포토']"
7,2021-04-29,489,,"['#데일리', '#인친', '#소통해요', '#followforfollowback', '#오늘의훈녀', '#소통', '#좋아요', '#맞팔', '#선팔', '#선팔하면맞팔', '#맞팔해요', '#선팔맞팔', '#봄코디', '#21살', '#후드집업', '#데일리룩', '#01', '#like4like', '#주말', '#좋아요반사', '#쇼핑몰', '#코디', '#tiktok', '#봄', '#여름', '#회사원', '#다이어트']"
8,2021-04-29,3142,,"['#데일리룩', '#daily', '#여름']"
9,2021-04-30,1,,"['#여름', '#여름코디']"
10,2021-04-30,0,,"['#By_hooya', '#바이후야', '#컬러맛집', '#니트맛집', '#아동복', '#아이옷', '#ootd', '#아기옷', '#예쁜아동복', '#남아옷', '#여아옷', '#등원룩', '#남매룩', '#문센룩', '#예쁜아기옷', '#아동복추천', '#남자아이옷', '#여자아이옷', '#광주맘', '#서울맘', '#인천맘', '#경기맘', '#일상', '#데일리룩', '#봄아동복', '#아동복쇼핑몰', '#아동복맛집', '#여름']"
11,2021-04-30,0,르쥬엘,"['#청주예물', '#청주르쥬엘', '#청주커플링', '#발찌', '#14k발찌', '#18k발찌', '#패션발찌', '#신상', '#여름', '#커플링디자인', '#디자인', '#체인발찌', '#신상', '#신상디자인']"
12,2021-04-30,6,CGV나주,"['#일상', '#소통', '#맞팔', '#좋반', '#데일리룩', '#데일리', '#셀카', '#셀피', '#나주', '#부산', '#서울', '#광주', '#효천지구옷가게', '#대구', '#목포', '#나주혁신도시', '#빛가람동', '#나주옷가게', '#나주혁신도시옷가게', '#나주혁신도시맛집', '#오오티디', '#선팔하면맞팔', '#여름', '#옷스타그램', '#꾸안꾸', '#나주보이', '#살롱드보이', '#보사장', '#보이는살롱']"
13,2021-04-30,0,,"['#에코백', '#데일리', '#라이프', '#굿즈', '#브랜드', '#패션', '#캔버스백', '#데일리백', '#데일리가방', '#가방', '#천가방', '#봄', '#여름', '#마실', '#ss', '#2021', '#new', '#brand', '#ecobag', '#daily']"
14,2021-04-30,0,,"['#By_hooya', '#바이후야', '#컬러맛집', '#니트맛집', '#아동복', '#아이옷', '#ootd', '#아기옷', '#예쁜아동복', '#남아옷', '#여아옷', '#등원룩', '#남매룩', '#문센룩', '#예쁜아기옷', '#아동복추천', '#남자아이옷', '#여자아이옷', '#광주맘', '#서울맘', '#인천맘', '#경기맘', '#일상', '#데일리룩', '#봄아동복', '#아동복쇼핑몰', '#아동복맛집', '#여름']"
15,2021-04-30,1,,"['#5월', '#왁싱이벤트', '#여름', '#봄이벤트', '#티트리', '#라벤더', '#프랑킨센스', '#왁싱후진정관리', '#논현동왁싱', '#신논현왁싱', '#브라질리언왁싱', '#눈썹왁싱', '#겨드랑이왁싱', '#위치스터치', '#강남왁싱', '#강남브라질리언']"
16,2021-04-30,1,르쥬엘,"['#청주예물', '#청주르쥬엘', '#청주커플링', '#발찌', '#14k발찌', '#18k발찌', '#패션발찌', '#신상', '#여름', '#르쥬엘', '#패션', '#패션스타그램', '#체인발찌', '#발찌추천', '#추천']"
17,2021-04-30,6,Goyang,"['#goodmorning', '#플로리스트안효', '#flowershop', '#flower', '#daily', '#에이치플로', '#florist', '#좋아요', '#좋아요반사', '#꽃집', '#플로리스트', '#일산프로포즈', '#데일리', '#일상', '#일산', '#일산꽃배달', '#일산꽃집', '#꽃시장', '#팔로우', '#아침', '#출근길', '#일산역꽃집', '#출근', '#꽃', '#꽃모닝', '#금요일', '#여름', '#후곡꽃집', '#일산어버이날', '#불금']"
18,2021-04-30,3,,"['#미스터바우어', '#미스터바우어젤네일', '#젤네일', '#네일스타그램', '#젤네일스티커', '#네일스티커', '#손톱관리', '#여름']"
