,date,like,place,tags
0,2021-05-25,4641,,"['#윙잇', '#베리이벤트', '#로제누들떡닭갈비', '#나눔이벤트', '#로제닭갈비', '#닭갈비', '#택배맛집', '#맥주안주', '#밀키트', '#캠핑음식', '#야식메뉴', '#간단요리', '#로제떡볶이', '#로제', '#댓글이벤트', '#이벤트', '#로제덕후', '#점심추천', '#야식스타그램', '#야식', '#야식추천', '#간편요리', '#떡볶이', '#떡볶이맛집', '#배달맛집', '#로제파스타', '#먹방']"
1,2021-05-26,1446,,"['#명동맛집', '#신세계떡볶이', '#푸민_명동', '#푸민로드', '#을지로맛집추천', '#을지로맛집', '#떡볶이맛집', '#떡볶이', '#을지로입구맛집', '#을지로', '#을지로핫플', '#명동데이트', '#을지로데이트', '#종로맛집']"
2,2021-05-22,3422,옥수역,"['#스시702', '#떡볶이', '#옥수동맛집', '#주차장분식', '#옥수역맛집', '#떡볶이맛집', '#오징어튀김맛집', '#맛타고라스분식', '#맛타고라스옥수동', '#맛타고라스옥수역']"
3,2021-05-25,734,Pd포차,"['#구로동', '#대림역', '#PD포차', '#피디포차', '#포차', '#짜파게티', '#분홍소세지', '#계란범벅', '#떡볶이', '#해물떡볶이', '#낮술', '#돼지런', '#먹스타그램', '#맛스타그램', '#PD포차오형', '#파워인스타글래머']"
4,2021-05-26,1280,파전분식,"['#파전', '#떡볶이', '#파전떡볶이', '#순대볶음', '#돈까스', '#경북', '#경북맛집', '#김천', '#김천맛집', '#평화동', '#평화동맛집', '#파전분식', '#먜슐랭', '#먜슐랭_경북', '#먜슐랭_김천', '#먜슐랭_떡볶이']"
5,2021-05-26,143,부산대학교 Pusan National University - PNU,"['#부산대포토이즘', '#포토이즘박스', '#해운대', '#해운대떡볶이', '#해운대맛집', '#장산맛집', '#떡볶이맛집', '#떡볶이추천', '#응급실떡볶이', '#응떡', '#응떡장산점', '#응급실떡볶이장산', '#해운대응떡', '#국물떡볶이', '#장산떡볶이', '#떡볶이', '#로제떡볶이', '#로제떡볶이추천', '#맞팔환영', '#맞팔해요']"
6,2021-05-24,1205,,"['#떡볶이', '#튀김', '#짱떡볶이', '#부산맛집', '#치즈_부산', '#부산떡볶이', '#해운대떡볶이', '#해운대맛집', '#해운대', '#해운대맛집추천', '#부산맛집투어', '#부산맛집추천', '#부산맛집탐방', '#tteokbokki', '#생활의달인', '#생활의달인맛집', '#부산여행']"
7,2021-05-27,3,서면,"['#리르빠', '#동백아가씨1961', '#스타벅스', '#떡볶이', '#칵테일', '#아메리카노', '#리르빠파우스트', '#하이볼', '#맥주', '#서면']"
8,2021-05-27,9,,"['#햄누나_먹', '#의정부맛집', '#먹스타그램', '#좋아요', '#인친환영', '#선팔', '#맞팔', '#먹방', '#일상', '#소통', '#맛집투어', '#찐맛집', '#존맛탱', '#좋반', '#오늘뭐먹지', '#mukbang', '#eat', '#instafood', '#koreanfood', '#야식', '#오늘의메뉴', '#jmtgr', '#술스타그램', '#집밥', '#홈쿡', '#핫플', '#데일리', '#치킨플러스', '#후라이드', '#떡볶이']"
9,2021-05-27,1,,"['#떡볶이', '#떡스타그램', '#캡숑떡볶이', '#캡숑컴퍼니', '#kcm떡볶이', '#국민간식', '#LIKE', '#韓国トッポッキ', '#떡볶이그램', '#떡볶이스타그램', '#떡매니아', '#떡볶이매니아', '#울트라캡숑떡볶이']"
10,2021-05-27,1,,"['#떡볶이', '#떡스타그램', '#캡숑떡볶이', '#캡숑컴퍼니', '#kcm떡볶이', '#국민간식', '#LIKE', '#韓国トッポッキ', '#떡볶이그램', '#떡볶이스타그램', '#떡매니아', '#떡볶이매니아']"
